exchange;first_currency;second_currency;exchange_pair_id;time;open;high;low;close;volume;market_cap
BEQUANT;BTC;USDB;2;2021-11-29 00:00:00+00:00;57396.95;59199.2;42424.27;49429.61;1612.60761;
BEQUANT;BTC;USDB;2;2021-11-22 00:00:00+00:00;58666.02;59414.08;53321.21;57160.32;980.99472;
BEQUANT;BTC;USDB;2;2021-11-15 00:00:00+00:00;65576.34;66309.96;55662.51;58665.48;776.37143;
BEQUANT;BTC;USDB;2;2021-11-08 00:00:00+00:00;63353.18;69003.23;62345.29;65523.66;674.4514;
BEQUANT;BTC;USDB;2;2021-11-01 00:00:00+00:00;61331.08;64308.43;59497.27;63293.84;807.34327;
BEQUANT;BTC;USDB;2;2021-10-25 00:00:00+00:00;60841.03;63682.15;57934.11;61337.63;1130.88721;
BEQUANT;BTC;USDB;2;2021-10-18 00:00:00+00:00;61574.88;66915.43;59541.04;60859.69;512.4226;
BEQUANT;BTC;USDB;2;2021-10-11 00:00:00+00:00;54681.91;62848.12;4825.83;61601.13;585.16252;
BEQUANT;BTC;USDB;2;2021-10-04 00:00:00+00:00;48139.4;56457.07;46957.21;54667.32;643.56079;
BEQUANT;BTC;USDB;2;2021-09-27 00:00:00+00:00;43082.16;49151.45;40824.34;48218.67;629.20228;
BEQUANT;BTC;USDB;2;2021-09-20 00:00:00+00:00;47340.28;47345.51;39645.89;43182.9;1042.3077;
BEQUANT;BTC;USDB;2;2021-09-13 00:00:00+00:00;46113.4;48815.42;43464.72;47274.03;328.58991;
BEQUANT;BTC;USDB;2;2021-09-06 00:00:00+00:00;51810.12;52888.15;42962.52;46095.36;664.17536;
BEQUANT;BTC;USDB;2;2021-08-30 00:00:00+00:00;48472.41;51844.7;46595.47;51721.84;258.53306;
BEQUANT;BTC;USDB;2;2021-08-23 00:00:00+00:00;49316.04;50494.66;46420.81;48927.89;216.0003;
BEQUANT;BTC;USDB;2;2021-08-16 00:00:00+00:00;47002.26;49642.54;44018.76;49484.3;256.25274;
BEQUANT;BTC;USDB;2;2021-08-09 00:00:00+00:00;43954.37;48171.35;42843.03;47012.47;484.10728;
BEQUANT;BTC;USDB;2;2021-08-02 00:00:00+00:00;39792.96;45260.4;37289.94;43823.59;890.33705;
BEQUANT;BTC;USDB;2;2021-07-26 00:00:00+00:00;35820.98;42561.85;35744.07;40048.32;448.78984;
BEQUANT;BTC;USDB;2;2021-07-19 00:00:00+00:00;31825.59;35253.32;29381.74;35253.32;146.5005;
BEQUANT;BTC;USDB;2;2021-07-12 00:00:00+00:00;34292.95;34463.27;31172.85;31633.68;213.90264;
BEQUANT;BTC;USDB;2;2021-07-05 00:00:00+00:00;35169.85;35169.85;32175.77;34430.68;174.15352;
BEQUANT;BTC;USDB;2;2021-06-28 00:00:00+00:00;34716.66;36556.06;32742.3;35403.54;84.27067;
BEQUANT;BTC;USDB;2;2021-06-21 00:00:00+00:00;35717.4;35717.4;0.01;34577.47;347.81157;
BEQUANT;BTC;USDB;2;2021-06-14 00:00:00+00:00;39127.64;41227.28;33240.39;35632.84;308.71845;
BEQUANT;BTC;USDB;2;2021-06-07 00:00:00+00:00;35793.99;39311.75;31117.11;39115.91;324.26457;
BEQUANT;BTC;USDB;2;2021-05-31 00:00:00+00:00;35433.82;39388.07;34225.08;35815.23;379.6927;
BEQUANT;BTC;USDB;2;2021-05-24 00:00:00+00:00;34900.61;40721.83;33413.29;35635.67;310.33461;
BEQUANT;BTC;USDB;2;2021-05-17 00:00:00+00:00;46490.0;46610.0;29516.88;34706.81;1420.12383;
BEQUANT;BTC;USDB;2;2021-05-10 00:00:00+00:00;58284.0;59485.85;43935.0;46475.0;625.35639;
BEQUANT;BTC;USDB;2;2021-05-03 00:00:00+00:00;56604.0;59548.0;53000.01;58284.0;444.98843;
BEQUANT;BTC;USDB;2;2021-04-26 00:00:00+00:00;49088.0;58529.28;48844.0;56600.0;367.25212;
BEQUANT;BTC;USDB;2;2021-04-19 00:00:00+00:00;56300.0;57552.0;47032.0;49088.0;809.71373;
BEQUANT;BTC;USDB;2;2021-04-12 00:00:00+00:00;60185.53;64820.0;51071.07;56273.75;683.6536;
BEQUANT;BTC;USDB;2;2021-04-05 00:00:00+00:00;58212.0;61242.11;55474.66;59992.0;523.6095;
BEQUANT;BTC;USDB;2;2021-03-29 00:00:00+00:00;55764.0;60170.76;54938.0;58212.0;323.46697;
BEQUANT;BTC;USDB;2;2021-03-22 00:00:00+00:00;57412.0;58409.99;50492.0;55766.0;340.95567;
BEQUANT;BTC;USDB;2;2021-03-15 00:00:00+00:00;59133.49;60422.5;53296.11;57408.0;511.0981;
BEQUANT;BTC;USDB;2;2021-03-08 00:00:00+00:00;50980.0;61668.64;49374.0;59001.4;363.31179;
BEQUANT;BTC;USDB;2;2021-03-01 00:00:00+00:00;45220.0;52585.63;45058.0;50976.0;396.60869;
BEQUANT;BTC;USDB;2;2021-02-22 00:00:00+00:00;57504.43;57578.24;43214.99;45216.0;1133.86129;
BEQUANT;BTC;USDB;2;2021-02-15 00:00:00+00:00;48744.07;58308.87;45920.71;57483.67;626.84358;
BEQUANT;BTC;USDB;2;2021-02-08 00:00:00+00:00;38887.2;49739.56;38069.83;48703.51;663.08607;
BEQUANT;BTC;USDB;2;2021-02-01 00:00:00+00:00;32819.01;40936.32;32357.24;38877.65;496.49361;
BEQUANT;BTC;USDB;2;2021-01-25 00:00:00+00:00;32341.1;38578.42;29262.33;33101.11;589.34551;
BEQUANT;BTC;USDB;2;2021-01-18 00:00:00+00:00;35734.41;37849.24;28897.65;32301.14;282.26759;
BEQUANT;BTC;USDB;2;2021-01-11 00:00:00+00:00;37671.64;39998.09;30601.52;36016.72;315.32688;
BEQUANT;BTC;USDB;2;2021-01-04 00:00:00+00:00;33028.71;41919.59;28018.56;38339.66;295.48029;
